parent_channel,week_start,avg_gap_hours,gap_count
barrows-sisters,2026-07-13,9.2,5
bossing-text-channel,2020-09-28,0.15,17
bossing-text-channel,2020-10-05,334.51,1
bossing-text-channel,2020-10-12,13.45,2
bossing-text-channel,2020-10-19,3.32,43
bossing-text-channel,2020-10-26,194.86,1
bossing-text-channel,2020-11-02,333.46,1
bossing-text-channel,2020-11-09,0.01,22
bossing-text-channel,2020-11-16,3.91,17
bossing-text-channel,2020-11-23,411.5,1
bossing-text-channel,2020-11-30,0.72,40
bossing-text-channel,2020-12-07,1.75,95
bossing-text-channel,2020-12-14,3.07,55
bossing-text-channel,2020-12-21,0.62,274
bossing-text-channel,2020-12-28,1.33,106
bossing-text-channel,2021-01-11,471.8,1
bossing-text-channel,2021-01-25,57.15,4
bossing-text-channel,2021-02-01,4.47,48
bossing-text-channel,2021-02-08,6.31,18
bossing-text-channel,2021-02-15,6.89,25
bossing-text-channel,2021-02-22,14.88,10
bossing-text-channel,2021-03-01,33.56,9
bossing-text-channel,2021-03-08,3.0,25
bossing-text-channel,2021-03-15,2.06,71
bossing-text-channel,2021-03-22,5.26,37
bossing-text-channel,2021-03-29,3.93,36
bossing-text-channel,2021-04-05,3.68,44
bossing-text-channel,2021-04-12,7.03,21
bossing-text-channel,2021-04-19,1.59,107
bossing-text-channel,2021-04-26,23.35,5
bossing-text-channel,2021-05-03,18.57,13
bossing-text-channel,2021-05-17,357.32,1
bossing-text-channel,2021-05-24,3.14,47
bossing-text-channel,2021-05-31,2.87,57
bossing-text-channel,2021-06-07,155.87,1
bossing-text-channel,2021-06-14,3.0,62
bossing-text-channel,2021-06-21,7.77,21
bossing-text-channel,2021-06-28,49.74,4
bossing-text-channel,2021-07-05,16.68,10
bossing-text-channel,2021-07-12,16.42,8
bossing-text-channel,2021-07-19,143.65,1
bossing-text-channel,2021-07-26,10.82,19
bossing-text-channel,2021-08-02,3.68,30
bossing-text-channel,2021-08-09,236.32,1
bossing-text-channel,2021-08-16,2.23,62
bossing-text-channel,2021-08-23,36.45,5
bossing-text-channel,2021-08-30,6.88,21
bossing-text-channel,2021-09-06,9.05,22
bossing-text-channel,2021-09-13,5.23,21
