parent_channel,week_start,message_count
bossing-text-channel,2021-06-14,62
bossing-text-channel,2021-06-21,21
bossing-text-channel,2021-06-28,3
bossing-text-channel,2021-07-05,10
bossing-text-channel,2021-07-12,9
bossing-text-channel,2021-07-19,1
bossing-text-channel,2021-07-26,18
bossing-text-channel,2021-08-02,31
bossing-text-channel,2021-08-16,63
bossing-text-channel,2021-08-23,5
bossing-text-channel,2021-08-30,21
bossing-text-channel,2021-09-06,21
bossing-text-channel,2021-09-13,22
bossing-text-channel,2021-09-20,1
bossing-text-channel,2021-09-27,13
bossing-text-channel,2021-10-04,56
bossing-text-channel,2021-10-11,10
bossing-text-channel,2021-11-08,2
bossing-text-channel,2021-11-15,9
bossing-text-channel,2021-12-06,1
bossing-text-channel,2021-12-13,3
bossing-text-channel,2021-12-20,15
bossing-text-channel,2021-12-27,2
bossing-text-channel,2022-01-03,26
bossing-text-channel,2022-02-21,23
bossing-text-channel,2022-03-14,1
bossing-text-channel,2022-06-20,1
bossing-text-channel,2022-07-18,12
bossing-text-channel,2022-08-01,11
bossing-text-channel,2022-10-10,16
bossing-text-channel,2022-11-21,19
bossing-text-channel,2022-12-05,1
bossing-text-channel,2022-12-12,8
bossing-text-channel,2022-12-19,1
bossing-text-channel,2023-01-02,1
bot-commands,2026-04-06,233
bot-commands,2026-04-13,2
bot-commands,2026-04-20,2
bot-commands,2026-04-27,1
bot-commands,2026-05-04,2
bot-commands,2026-05-25,2
bot-commands,2026-06-08,8
bot-commands,2026-06-15,5
bot-commands,2026-06-22,7
bot-commands,2026-06-29,3
bot-commands,2026-07-06,5
bot-commands,2026-07-13,7
clan-charter,2026-03-30,3
content-recs,2020-10-05,10
content-recs,2020-10-19,17
content-recs,2020-10-26,14
content-recs,2020-11-02,2
content-recs,2020-11-09,9
content-recs,2020-11-23,16
content-recs,2020-11-30,3
content-recs,2020-12-07,4
content-recs,2020-12-14,15
content-recs,2020-12-21,5
content-recs,2020-12-28,5
content-recs,2021-01-04,12
content-recs,2021-01-11,17
content-recs,2021-01-18,19
content-recs,2021-01-25,3
content-recs,2021-02-01,310
content-recs,2021-02-15,1
content-recs,2021-02-22,6
content-recs,2021-03-01,16
content-recs,2021-03-08,41
content-recs,2021-03-15,7
content-recs,2021-03-22,53
content-recs,2021-03-29,22
content-recs,2021-04-05,4
content-recs,2021-04-12,17
content-recs,2021-04-19,28
content-recs,2021-04-26,12
content-recs,2021-05-03,5
content-recs,2021-05-10,236
content-recs,2021-05-17,12
content-recs,2021-05-24,26
content-recs,2021-05-31,22
content-recs,2021-06-07,41
content-recs,2021-06-14,89
content-recs,2021-06-21,20
content-recs,2021-06-28,1
content-recs,2021-07-05,42
content-recs,2021-07-12,3
content-recs,2021-07-19,5
content-recs,2021-07-26,6
content-recs,2021-08-16,5
content-recs,2021-08-23,3
content-recs,2021-08-30,13
content-recs,2021-09-06,20
content-recs,2021-09-13,1
content-recs,2021-09-20,2
content-recs,2021-09-27,7
content-recs,2021-10-04,11
content-recs,2021-10-11,4
content-recs,2021-10-18,1
content-recs,2021-10-25,20
content-recs,2021-11-01,13
content-recs,2021-11-08,4
content-recs,2021-11-15,1
content-recs,2021-11-22,2
content-recs,2021-11-29,1
content-recs,2021-12-06,7
content-recs,2021-12-13,1
content-recs,2021-12-27,24
content-recs,2022-01-03,10
content-recs,2022-01-10,27
content-recs,2022-01-17,7
content-recs,2022-01-24,6
content-recs,2022-01-31,2
content-recs,2022-02-07,15
content-recs,2022-02-14,14
content-recs,2022-02-21,53
content-recs,2022-02-28,16
content-recs,2022-03-07,1
content-recs,2022-03-14,5
content-recs,2022-03-21,1
content-recs,2022-03-28,6
content-recs,2022-04-25,1
content-recs,2022-05-16,2
content-recs,2022-05-23,4
content-recs,2022-05-30,1
content-recs,2022-07-04,1
content-recs,2022-07-11,17
content-recs,2022-07-18,7
content-recs,2022-08-01,14
content-recs,2022-08-08,2
content-recs,2022-08-15,2
content-recs,2022-08-29,1
content-recs,2022-09-05,51
content-recs,2022-09-12,1
content-recs,2022-09-26,3
content-recs,2022-10-10,5
content-recs,2022-10-17,7
content-recs,2022-10-24,1
content-recs,2022-10-31,6
content-recs,2022-11-21,9
content-recs,2022-11-28,9
content-recs,2022-12-05,1
content-recs,2022-12-19,1
content-recs,2022-12-26,10
content-recs,2023-01-02,1
content-recs,2023-01-09,4
content-recs,2023-01-30,3
content-recs,2023-02-06,26
content-recs,2023-02-13,3
content-recs,2023-02-20,4
content-recs,2023-02-27,9
content-recs,2023-03-06,21
content-recs,2023-03-13,4
content-recs,2023-03-20,10
content-recs,2023-03-27,301
content-recs,2023-04-10,4
content-recs,2023-04-17,90
content-recs,2023-04-24,40
content-recs,2023-05-01,15
content-recs,2023-05-08,4
content-recs,2023-06-12,5
content-recs,2023-07-17,1
content-recs,2023-07-24,24
content-recs,2023-08-07,1
content-recs,2023-08-21,18
content-recs,2023-08-28,7
content-recs,2023-09-04,11
content-recs,2023-09-11,2
content-recs,2023-09-18,14
content-recs,2023-09-25,7
content-recs,2023-10-02,2
content-recs,2023-10-23,11
content-recs,2023-11-13,48
content-recs,2023-11-20,10
content-recs,2023-11-27,2
content-recs,2023-12-04,37
content-recs,2023-12-11,41
content-recs,2024-01-08,9
content-recs,2024-01-15,3
content-recs,2024-01-22,1
content-recs,2024-03-04,2
content-recs,2024-03-11,8
content-recs,2024-03-18,16
content-recs,2024-03-25,2
content-recs,2024-07-01,1
content-recs,2024-07-22,2
content-recs,2024-08-12,1
content-recs,2024-08-19,45
content-recs,2024-09-02,10
content-recs,2024-09-09,6
content-recs,2024-09-16,6
content-recs,2024-09-23,11
content-recs,2024-09-30,1
content-recs,2024-10-21,6
content-recs,2024-11-04,2
content-recs,2024-11-18,10
content-recs,2024-12-16,2
content-recs,2025-01-13,13
content-recs,2025-02-17,11
content-recs,2025-02-24,10
content-recs,2025-03-17,8
content-recs,2025-03-24,17
content-recs,2025-03-31,6
content-recs,2025-04-07,1
content-recs,2025-04-21,1
content-recs,2025-04-28,12
content-recs,2025-05-05,2
content-recs,2025-05-12,2
content-recs,2025-05-19,2
content-recs,2025-06-02,1
content-recs,2025-06-09,5
content-recs,2025-06-16,2
content-recs,2025-06-23,7
content-recs,2025-06-30,7
content-recs,2025-07-07,1
content-recs,2025-07-14,1
content-recs,2025-07-21,1
content-recs,2025-07-28,20
content-recs,2025-08-04,6
content-recs,2025-08-11,9
content-recs,2025-08-18,5
content-recs,2025-08-25,3
content-recs,2025-09-01,9
content-recs,2025-09-08,2
content-recs,2025-09-15,11
content-recs,2025-09-22,3
content-recs,2025-09-29,31
content-recs,2025-10-06,38
content-recs,2025-10-13,58
content-recs,2025-10-20,17
content-recs,2025-10-27,2
content-recs,2025-11-03,3
content-recs,2025-11-10,22
content-recs,2025-11-17,3
content-recs,2025-11-24,8
content-recs,2025-12-01,11
content-recs,2025-12-08,17
content-recs,2025-12-15,46
content-recs,2025-12-22,15
content-recs,2025-12-29,39
content-recs,2026-01-05,20
content-recs,2026-01-12,1
content-recs,2026-01-19,85
content-recs,2026-01-26,10
content-recs,2026-02-02,2
content-recs,2026-02-09,4
content-recs,2026-02-16,2
content-recs,2026-03-02,5
content-recs,2026-03-16,6
content-recs,2026-03-23,9
content-recs,2026-03-30,5
content-recs,2026-04-06,28
content-recs,2026-04-13,1
content-recs,2026-04-27,5
content-recs,2026-05-04,2
content-recs,2026-05-11,22
content-recs,2026-05-18,3
content-recs,2026-05-25,15
content-recs,2026-06-01,43
content-recs,2026-06-08,3
content-recs,2026-06-15,6
content-recs,2026-06-22,5
content-recs,2026-06-29,4
content-recs,2026-07-06,5
cooking-guild,2021-04-05,7
cooking-guild,2021-04-12,13
cooking-guild,2021-04-19,5
cooking-guild,2021-04-26,15
cooking-guild,2021-05-03,15
cooking-guild,2021-05-10,3
cooking-guild,2021-05-17,2
cooking-guild,2021-06-14,22
cooking-guild,2021-06-21,3
cooking-guild,2021-06-28,2
cooking-guild,2021-07-05,21
cooking-guild,2021-07-12,9
cooking-guild,2021-07-19,4
cooking-guild,2021-07-26,1
cooking-guild,2021-08-02,4
cooking-guild,2021-08-09,10
cooking-guild,2021-08-23,11
cooking-guild,2021-09-20,7
cooking-guild,2021-09-27,26
cooking-guild,2021-10-04,12
cooking-guild,2021-10-11,21
cooking-guild,2021-10-25,12
cooking-guild,2021-11-01,12
cooking-guild,2021-11-08,4
cooking-guild,2021-11-15,1
cooking-guild,2021-11-22,3
cooking-guild,2021-11-29,26
cooking-guild,2021-12-06,2
cooking-guild,2021-12-13,25
cooking-guild,2021-12-20,14
cooking-guild,2021-12-27,19
cooking-guild,2022-01-03,11
cooking-guild,2022-01-10,17
cooking-guild,2022-01-17,28
cooking-guild,2022-01-24,14
cooking-guild,2022-02-07,12
cooking-guild,2022-02-14,18
cooking-guild,2022-02-28,5
cooking-guild,2022-03-07,13
cooking-guild,2022-03-14,36
cooking-guild,2022-03-21,2
cooking-guild,2022-04-11,1
cooking-guild,2022-04-25,4
cooking-guild,2022-05-02,6
cooking-guild,2022-05-09,3
cooking-guild,2022-05-23,3
cooking-guild,2022-05-30,13
cooking-guild,2022-06-06,7
cooking-guild,2022-06-13,31
cooking-guild,2022-06-20,14
cooking-guild,2022-06-27,2
cooking-guild,2022-07-04,4
cooking-guild,2022-07-18,8
cooking-guild,2022-07-25,5
cooking-guild,2022-08-01,3
cooking-guild,2022-08-15,1
cooking-guild,2022-08-29,5
cooking-guild,2022-09-05,1
